abiogen gliconorm 5mg+500mg tab,,12,5770,69240,2027-09-30
abiogen dibase 300.000 IU amp,,3,8527,25581,2028-07-30
Abdiibrahim Nebeta 5 mg tab,,0,8828,0,2028-04-30
Abdiibrahim epixx 500mg,8699514096535,0,17670,0,2027-01-30
Abdiibrahim onceAir 10mg tab,8699514096092,2,10751,21502,2027-06-30
Abdiibrahim onceAir pedi 4mg tab,8699514240013,3,12265,36795,2027-07-30
Abdiibrahim Tensart 16 mg tab,,0,7503,0,2027-05-30
Abdiibrahim Lifta 5 mg tab,8699514093367,0,20677,0,2027-02-28
Abdiibrahim Tensart 8 mg tab,8699514011682,0,5737,0,2027-06-30
Abdiibrahim lifta 20 mg tab,8699514090137,0,6330,0,2028-02-28
Asia Retane 20 mg Softgel Cap,6211170027665,0,19260,0,2027-10-30
Astellas vesicare 5mg tab,8718692510173,0,39216,0,2028-09-30
Astellas Omnic Ocas 0.4 mg tab,,0,20657,0,2028-06-30
Abbott Lipanthyl 200 mg,,0,17385,0,2028-08-30
Abbott Duphalac 667 mg Syrup 300 ml,8002660031754,0,7483,0,2027-08-30
Aswar AS-Medozal 200mg/5ml Suspension,9644451215784,97,1050,101850,2028-04-30
Atabay Klavunat 1000 mg 10 Film Coated Tablets,8699717090064,34,4938,167892,2028-01-30
Atabay Klavunat 625 mg 10 Film Coated Tablets,8699717090132,35,4170,145950,2028-01-30
Aurobindo Auroxetil 500 mg 10 Tab,8901175019816,20,6320,126400,2028-11-30
Aurobindo Koact 1000 mg Tab,8901175021376,73,3841,280393,2027-09-30
Aurobindo Koact 625 mg Tab,8901175016181,16,2831,45296,2027-09-30
Aurobindo Z Mox 500 mg Capsules,8901175011292,0,8559,0,2027-04-30
Ajanta Diazac M ER 10/1000,,0,28890,0,2027-10-30
Ajanta zaha 250 mg tab,8901111001370,30,2172,65160,2028-03-30
Ajanta zaha 500mg,8901111000861,149,3731,555919,2027-02-02
Ajanta actinac plus tab,8901111003305,256,5795,1483520,2028-06-30
Ajanta zaha 200mg/5ml susp,8901111045718,80,2633,210640,2028-07-30
Ajanta apcalis-sx 10mg,8901111000151,70,1646,115220,2028-04-30
Ajanta apcalis-sx 20mg,8901111000168,102,2540,259080,2028-04-30
Ajanta Empadil 10/5 mg tab Empag+Linag,,0,26964,0,2027-12-30
Ajanta pacroma 1% 30 g Cream,8901111014110,35,12271,429485,2027-11-30
Ajanta Sitapril M 50/1000 mg tab,8901111076866,0,18100,0,2027-11-30
Ajanta Sitapril M OD 100/1000 mg,8901111085738,0,21066,0,2027-11-30
Ajanta amaday 5mg,,50,993,49650,2028-10-30
Ajanta amaday 10mg,8901111571118,24,1032,24768,2027-07-30
Ajanta aprazole 40mg علبة,8901111985113,114,1514,172596,2028-09-30
Ajanta aprazole 40mg شريط,8901111591215,86,1552,133472,2028-04-30
Ajanta aprazole 20mg علبة,8901111978115,93,1295,120435,2028-09-30
Ajanta aprazole 20mg شريط,8901111701119,180,1317,237060,2028-06-30
Ajanta vildaril M,,0,8432,0,2027-05-30
Ajanta levotop 500mg,8901111001721,0,3700,0,2028-05-30
Ajanta tyflox 500mg,8901111001783,44,1190,52360,2027-10-30
Ajanta brinzox 1.0% drop,8901111012116,23,6150,141450,2027-05-30
Ajanta optifenac 25mg,8901111398128,51,1894,96594,2027-08-30
Ajanta apcycline 250mg,8901111256121,7,3950,27650,2028-09-30
Ajanta lacoma-t,8901111090114,30,6671,200130,2027-05-30
Ajanta esmoloc 40,8901111073728,0,4916,0,2027-06-30
Ajanta loxim 7.5mg,8901111827123,43,878,37754,2028-06-30
Ajanta loxim 15mg,8901111827215,77,1097,84469,2028-06-30
Ajanta fixim 400 cap,8901111083598,135,3311,446985,2028-11-30
Ajanta fixim 200mg cap,8901111083581,12,2414,28968,2028-09-30
Ajanta Viagra 100mg oral jelly,8901111046234,88,6790,597520,2027-09-30
Ajanta Viagra 50mg oral jelly,8901111006702,90,6105,549450,2027-09-30
Ajanta lastavin AM 5/160 tab,8901111051368,33,9875,325875,2028-02-28
Ajanta lastavin AM 10/160 tab,8901111051375,35,10424,364840,2028-02-29
Ajanta lastavin HTZ 80/12.5,8901111051344,45,4829,217305,2028-02-28
Ajanta kamagra 100 tab,8901111175118,44,1865,82060,2028-06-30
Ajanta kamagra 50 tab,8901111174111,162,1317,213354,2028-04-30
Ajanta novaten 100mg,8901111350133,80,1426,114080,2027-06-30
Ajanta novaten 50mg,8901111349137,95,1141,108395,2028-06-30
Ajanta apifen 400mg,8901111264126,11,4083,44913,2029-09-30
Ajanta apifen 200mg,8901111263129,56,2798,156688,2027-09-30
Ajanta perobar 2.5% soap,8901111003626,0,4458,0,2028-10-30
Ajanta perobar 5% soap,8901111003633,101,5075,512575,2028-10-30
Ajanta meflam 500mg,8901111081129,82,4828,395896,2027-09-30
Ajanta aquasoft savon 75g soap,8901111002711,101,2960,298960,2028-07-30
Ajanta aquasoft creem 15% 100g cream,8901111053850,70,4757,332990,2028-05-30
Ajanta aquasoft creem 15% 50g cream,8901111080122,70,3260,228200,2028-06-02
Ajanta Aquasoft Max 60g cream,8901111045398,95,4152,394440,2028-08-30
Ajanta Lisnop 10 mg tab,8901111572115,47,2546,119662,2029-08-30
acino upsysto 20mg tab,,4,6621,26484,2027-08-30
acino bactiflox Neo750mg tab,7640153087416,27,13440,362880,2030-08-30
acino bactiflox Neo 500mg tab,7640153087409,67,10593,709731,2030-08-30
acino Cardex Plus 5/12.5 mg tab,7640153087676,39,10482,408798,2030-03-01
acino olfen 140mg patch,7640153080592,27,12476,336852,2027-08-30
acino metracin 100mg,7640153082718,37,10635,393495,2027-11-30
acino Cardex 10mg 30 tab,7640153087621,10,7318,73180,2028-07-17
acino paraconica 1000mg iv vial,7640153083128,40,3643,145720,2027-10-30
acino Cardex 2.5mg tab,7640153087607,53,3171,168063,2028-08-30
acino Cardex 5mg tab,7640153087614,61,4657,284077,2028-08-30
acino Clopacin 75mg 28 tab,7640153080981,0,12406,0,2028-02-05
acino CoAmox 1000mg 14 tabs,7640153081490,209,12052,2518868,2027-06-05
acino controloc 20mg tab,,0,8010,0,2028-07-30
acino controloc40mg tab,,0,10360,0,2028-09-30
acino roxytor 10mg tab,,2,6364,12728,2027-05-30
acino movicol sachet,7640153088826,17,14474,246058,2028-12-30
acino roxytor 40mg tab,,2,13498,26996,2028-06-30
acino CoAmox 457mg 70ml Susp,7640153081636,53,9217,488501,2028-02-12
acino Gasec 20mg,7640153082848,20,6290,125800,2028-03-30
acino Lofral 10mg tabs,7640153080325,120,10424,1250880,2027-09-09
acino Lofral 5mg tab,7640153080349,0,8316,0,2027-07-07
acino Mesporin 1000 IM Vial,7640153081360,24,7790,186960,2027-06-06
acino Mesporin 1000 IV Vial,,0,7962,0,2028-06-01
acino Mesporin 500 IM Vial,,0,4855,0,2028-01-30
acino Metracin 50mg,7640153082701,72,7318,526896,2028-10-09
acino Neurorubine Plus IM,,0,4455,0,2027-07-07
acino Neurorubine Forte 20 tab,7640153087874,230,5433,1249590,2027-04-28
acino Olfen 1% Gel 50g,7640153080561,119,5100,606900,2028-05-30
acino Olfen 50mg tabs,7640153080653,52,4413,229476,2030-02-02
acino Olfen-100 SR Caps,7640153080622,215,6786,1458990,2027-09-05
acino Uvamin retard Caps,7640153080783,71,7740,549540,2028-05-30
acino Zamur 500mg Tab,7640153080875,0,11786,0,2028-04-11
astrazeneca xigduo XR 10mg/1000mg tab,5000456007870,4,55513,222052,2028-11-30
astrazeneca crestor 10mg tab,,0,12271,0,2028-04-30
astrazeneca crestor 20mg tab,,0,20677,0,2028-06-30
astrazeneca crestor 40mg tab,,0,29388,0,2027-05-31
astrazeneca Betaloc ZOK 100 mg tab,7321839720154,20,13805,276100,2028-08-30
astrazeneca Betaloc ZOK 50 mg tab,7321839720185,0,10431,0,2028-08-30
astrazeneca Betaloc ZOK 25mg tab,7321839722103,6,3950,23700,2028-05-30
astrazeneca Nexium 10 mg Sachet,5000456060486,8,34757,278056,2028-09-30
astrazeneca arimidex 1mg,,0,64155,0,2030-06-30
astrazeneca nexium 20mg,,0,10431,0,2027-08-30
astrazeneca nexium 40mg,5000456060448,0,13089,0,2027-10-30
Bristol Atenolol 100mg Tab,,0,1800,0,2026-12-30
Bristol Atenolol 50mg Tab,,0,1921,0,2026-11-30
Boehringer Mobic 15 mg tab,4048846023285,0,11862,0,2028-01-30
Boehringer Mobic 7.5 mg tab,,0,8866,0,2027-12-30
Boehringer Twynsta 80/5 mg tab,,0,22764,0,2028-06-30
Boehringer Twynsta 80/10 mg tab,,0,22539,0,2028-01-30
Bioactive BioDy 25000IU Softgels,5900168352278,21,26250,551250,2028-05-30
Bioactive panzol 20mg tab,8699578043438,21,7875,165375,2027-05-30
Bioactive panzol 40mg tab,8699578043414,20,8400,168000,2028-06-30
Bioactive BioGinKo plus tab,5900168352209,7,11550,80850,2028-01-30
Bioactive bioflex plus cream,676194200252,40,12840,513600,2028-10-30
Bayer Diane 35 mg tab,,0,7703,0,2028-03-30
Bayer Xarelto 20 mg tab Rivaroxaban,,0,90645,0,2028-05-30
Bayer Yasmin tab,,0,10240,0,2028-10-30
Bayer priorin N,,0,57700,0,2027-04-01
Bayer primolut N 5mg tab,,0,7835,0,2030-10-30
Bayer aspirin 100mg tab,,360,2428,874080,2027-07-30
Bayer bepanthen protective Baby 30g,,21,4500,94500,2027-09-30
Bayer bepanthen cream 30g,,165,4944,815760,2027-09-30
Bayer clarinase tab,,77,7283,560791,2028-03-30
Bayer Microgynon ED tab,,0,7125,0,2030-07-30
Bayer Rennie Chewable 96 tab,,303,5333,1615899,2029-10-30
Brawn Achee cold&flu tab,,32,2250,72000,2027-05-30
Brawn Achee Sinus cold&flu tab,,129,1900,245100,2027-03-30
Brawn brustil 1mg/1ml oral drop,,83,1645,136535,2027-07-30
Brawn calamine lotion 100ml,,28,1537,43036,2028-10-30
Brawn canstran 100mg viginal tab,8902399001939,0,1258,0,2028-08-30
Brawn dermoran cream,8902399003582,0,795,0,2028-03-30
Brawn dermoran oint 25g,8902399003575,100,1097,109700,2028-03-30
Brawn fluconazole 150mg 1cap,8902399003926,0,773,0,2028-08-30
Brawn mefstan 500mg tab,,0,3950,0,2027-03-30
Brawn mica 500/2ml IM.IV 1*10 Vial,8902399003384,0,1509,0,2027-07-30
Brawn proctobran oint,,88,1105,97240,2028-08-30
Brawn Avir cream,,0,1427,0,2027-05-30
Brawn L-15,,0,1815,0,2027-02-28
Brawn azibru 500mg,,0,1580,0,2026-08-08
Brawn azibru 200 oral,,0,2571,0,2026-11-30
Brawn quatrobrawn cream 15g,8902399003490,25,1097,27425,2028-08-30
Brawn diclobran 1% gel 25g,8902399003964,7,1331,9317,2028-08-30
Brawn Vermx oral susp,,0,850,0,2027-03-30
Brawn Loraten 10mg tab,,0,950,0,2028-03-31
Brawn vermx 200mg tab,,0,700,0,2027-01-06
El-Nile Isilin 120 ml Syrup,6221077059034,114,2900,330600,2027-08-30
lilly humalog 100 kwjkpe 100 unit,,4,12981,51924,2027-11-30
micro fexofast-120 tab,8901302054727,0,1905,0,2027-03-30
micro pantofage 20,,0,4416,0,2026-10-30
micro etorica 90mg tab,8901302111970,35,5706,199710,2027-11-30
micro fungicon 150mg,8901302099629,0,642,0,2027-06-30
micro pantofage 40,,0,5512,0,2026-10-30
MICRO Supixime 400 cap,8901302099100,0,3470,0,2027-02-02
MICRO Pulmoxyl-500mg,8901302098172,1017,8283,8423811,2028-05-01
MICRO Angizaar 50mg,8901302098271,11,5595,61545,2028-07-07
MICRO apivas 5,8901302203118,16,22745,363920,2028-06-30
MICRO apivas 2.5,8901302203101,19,20678,392882,2028-01-30
MICRO Angizaar-H,8901302097151,106,6489,687834,2028-05-05
MICRO Avas 20mg,8901302097571,41,5706,233946,2028-08-12
MICRO Avas 40mg,8901302097540,0,7681,0,2028-08-30
